Year,Return
1988,50.03067021276596
1989,67.42000651227124
1990,-23.782395695602627
1991,68.39416823547707
1992,17.112539765909283
1993,91.64361542134831
1994,-13.729212061036938
1995,-9.883139052640951
1996,8.847058460489613
1997,-1.200148684513953
1998,-29.385274822776985
1999,94.73353311048972
2000,-25.08405949560226
2001,3.078208066077611
2002,-21.005009679475574
2003,29.761236711556183
2004,16.788262284820835
2005,55.34456271495666
2006,18.733024192753852
2007,25.0905249855636
2008,-50.47883962648408
2009,72.94470782370747
2010,28.508731046699488
2011,-15.498278966321601
2012,16.334452708753496
2013,-6.497573909263829
2014,11.527166933775309
2015,-4.761946974292759
2016,15.267442373879303
2017,21.074401388116154
2018,-10.168708630443415
2019,21.16885665941883
2020,8.657179207913872
2021,5.934673909712859
2022,-14.769067820717499
2023,6.214826526529388
2024,14.683141431417853